"text","intent"
"привет","greeting"
"здравствуйте","greeting"
"добрый день","greeting"
"приветик","greeting"
"хеллоу","greeting"
"добрый вечер","greeting"
"привет ассистент","greeting"
"здарова","greeting"
"доброго дня","greeting"
"хай","greeting"
"доброе утро","greeting"
"доброй ночи","greeting"
"здравствуй","greeting"
"приветствую","greeting"
"салют","greeting"
"йо","greeting"
"алло","greeting"
"эй","greeting"
"добрый денек","greeting"
"хэллоу","greeting"
"hello","greeting"
"hi","greeting"
"ку","greeting"
"прив","greeting"
"привки","greeting"
"приветики","greeting"
"хей","greeting"
"хэй","greeting"
"здаров","greeting"
"здраствуйте","greeting"
"здрасьте","greeting"
"доброго вечера","greeting"
"доброго утра","greeting"
"привет бот","greeting"
"привет консультант","greeting"
"привет флорист","greeting"
"здравствуйте консультант","greeting"
"добрый день флорист","greeting"
"можно помощь","greeting"
"вы тут","greeting"
"есть кто","greeting"
"начнем","greeting"
"давай начнем","greeting"
"добрый вечер подскажите","greeting"
"привет нужна помощь","greeting"
"здравствуйте нужна помощь","greeting"
"привет помоги","greeting"
"добрый день помогите","greeting"
"приветствую вас","greeting"
"рад приветствовать","greeting"
"добро пожаловать это я","greeting"
"я тут","greeting"
"начинаем","greeting"
"поможешь","greeting"
"можешь помочь","greeting"
"нужна консультация","greeting"
"хочу спросить","greeting"
"можно вопрос","greeting"
"привет хочу букет","greeting"
"здравствуйте хочу подобрать цветы","greeting"
"привет мне нужна консультация","greeting"
"добрый день нужна консультация","greeting"
"салам","greeting"
"салам алейкум","greeting"
"бонжур","greeting"
"приветствую флориста","greeting"
"добрый вечер ассистент","greeting"
"доброе утро ассистент","greeting"
"здравия","greeting"
"привет дорогой помощник","greeting"
"эй ассистент","greeting"
"ау","greeting"
"на связи","greeting"
"я пришел","greeting"
"я здесь","greeting"
"приветик помоги пожалуйста","greeting"
"здравствуйте пожалуйста помогите","greeting"
"мне нужен букет","bouquet_request"
"хочу букет","bouquet_request"
"подбери букет","bouquet_request"
"помоги выбрать букет","bouquet_request"
"нужен красивый букет","bouquet_request"
"хочу купить букет","bouquet_request"
"посоветуй букет","bouquet_request"
"какой букет выбрать","bouquet_request"
"подскажи букет","bouquet_request"
"мне нужен букет для подарка","bouquet_request"
"помоги подобрать букет","bouquet_request"
"ищу букет","bouquet_request"
"нужны цветы","bouquet_request"
"хочу заказать цветы","bouquet_request"
"подберите цветы","bouquet_request"
"помогите с букетом","bouquet_request"
"нужно что то из цветов","bouquet_request"
"посоветуй цветы","bouquet_request"
"хочу красивую композицию","bouquet_request"
"нужна цветочная композиция","bouquet_request"
"выбери мне цветы","bouquet_request"
"что подарить из цветов","bouquet_request"
"какие цветы взять","bouquet_request"
"какой букет лучше","bouquet_request"
"помоги с выбором цветов","bouquet_request"
"нужен букет срочно","bouquet_request"
"хочу заказать букет","bouquet_request"
"подбери что нибудь красивое","bouquet_request"
"нужен нежный букет","bouquet_request"
"нужен яркий букет","bouquet_request"
"нужен романтичный букет","bouquet_request"
"нужен недорогой букет","bouquet_request"
"нужен премиальный букет","bouquet_request"
"хочу букет на подарок","bouquet_request"
"хочу букет для сюрприза","bouquet_request"
"помоги выбрать цветы","bouquet_request"
"мне надо купить цветы","bouquet_request"
"надо выбрать букет","bouquet_request"
"подскажи вариант букета","bouquet_request"
"посоветуй хороший вариант","bouquet_request"
"собери букет","bouquet_request"
"составь букет","bouquet_request"
"сделай рекомендацию букета","bouquet_request"
"нужна рекомендация по букету","bouquet_request"
"какие цветы подойдут","bouquet_request"
"что лучше подарить","bouquet_request"
"что выбрать в цветочном","bouquet_request"
"хочу красивый подарок","bouquet_request"
"нужен букет сегодня","bouquet_request"
"нужен букет на завтра","bouquet_request"
"подбери цветы онлайн","bouquet_request"
"покажи варианты букетов","bouquet_request"
"порекомендуй букет","bouquet_request"
"нужен совет по цветам","bouquet_request"
"я выбираю букет","bouquet_request"
"помоги не ошибиться с букетом","bouquet_request"
"не знаю какой букет купить","bouquet_request"
"хочу удивить букетом","bouquet_request"
"нужен букет с доставкой","bouquet_request"
"хочу заказать с доставкой","bouquet_request"
"подбери букет по параметрам","bouquet_request"
"помоги подобрать по вкусу","bouquet_request"
"надо купить букет","bouquet_request"
"хочу цветы в подарок","bouquet_request"
"нужен подарок из цветов","bouquet_request"
"какой букет сейчас лучше","bouquet_request"
"что посоветуешь из букетов","bouquet_request"
"подобрать букет пожалуйста","bouquet_request"
"нужен букетик","bouquet_request"
"хочу букетик","bouquet_request"
"посоветуй букетик","bouquet_request"
"ищу красивые цветы","bouquet_request"
"нужно оформить букет","bouquet_request"
"нужно выбрать цветы для подарка","bouquet_request"
"хочу цветочную композицию","bouquet_request"
"для девушки","answer_recipient"
"для мамы","answer_recipient"
"для жены","answer_recipient"
"для подруги","answer_recipient"
"для коллеги","answer_recipient"
"для сестры","answer_recipient"
"для бабушки","answer_recipient"
"для любимой","answer_recipient"
"для девушки моей","answer_recipient"
"для мамочки","answer_recipient"
"букет для девушки","answer_recipient"
"букет для мамы","answer_recipient"
"девушке","answer_recipient"
"маме","answer_recipient"
"жене","answer_recipient"
"подруге","answer_recipient"
"коллеге","answer_recipient"
"сестре","answer_recipient"
"бабушке","answer_recipient"
"любимой","answer_recipient"
"для невесты","answer_recipient"
"для учительницы","answer_recipient"
"для преподавателя","answer_recipient"
"для начальницы","answer_recipient"
"для тещи","answer_recipient"
"для свекрови","answer_recipient"
"для дочери","answer_recipient"
"для доченьки","answer_recipient"
"для племянницы","answer_recipient"
"для крестной","answer_recipient"
"для соседки","answer_recipient"
"для знакомой","answer_recipient"
"для клиента","answer_recipient"
"для партнерши","answer_recipient"
"для девушки друга","answer_recipient"
"для одногруппницы","answer_recipient"
"для однокурсницы","answer_recipient"
"для воспитательницы","answer_recipient"
"для врача","answer_recipient"
"для тренера","answer_recipient"
"для женщины","answer_recipient"
"для дамы","answer_recipient"
"для молодой девушки","answer_recipient"
"для взрослой женщины","answer_recipient"
"для пожилой женщины","answer_recipient"
"для ребенка","answer_recipient"
"для девочки","answer_recipient"
"для мужчины","answer_recipient"
"для папы","answer_recipient"
"для мужа","answer_recipient"
"для брата","answer_recipient"
"для дедушки","answer_recipient"
"для парня","answer_recipient"
"для любимого человека","answer_recipient"
"моей девушке","answer_recipient"
"моей жене","answer_recipient"
"моей маме","answer_recipient"
"моей сестре","answer_recipient"
"моей подруге","answer_recipient"
"моей бабушке","answer_recipient"
"любимой маме","answer_recipient"
"дорогой жене","answer_recipient"
"лучшей подруге","answer_recipient"
"строгой начальнице","answer_recipient"
"новой знакомой","answer_recipient"
"будущей жене","answer_recipient"
"бывшей девушке","answer_recipient"
"для бывшей","answer_recipient"
"для свекрови на подарок","answer_recipient"
"для мамы жены","answer_recipient"
"для мамы парня","answer_recipient"
"для крестной мамы","answer_recipient"
"для родственницы","answer_recipient"
"для коллеги по работе","answer_recipient"
"для сотрудницы","answer_recipient"
"для бизнес партнера","answer_recipient"
"для клиента женщины","answer_recipient"
"букет любимой","answer_recipient"
"букет жене","answer_recipient"
"букет подруге","answer_recipient"
"букет коллеге","answer_recipient"
"день рождения","answer_event"
"на день рождения","answer_event"
"годовщина","answer_event"
"на годовщину","answer_event"
"свадьба","answer_event"
"на свадьбу","answer_event"
"свидание","answer_event"
"для свидания","answer_event"
"просто так","answer_event"
"без повода","answer_event"
"извинение","answer_event"
"романтический повод","answer_event"
"на юбилей","answer_event"
"юбилей","answer_event"
"на 8 марта","answer_event"
"8 марта","answer_event"
"первое свидание","answer_event"
"второе свидание","answer_event"
"на выпускной","answer_event"
